flat_w,flat_f,spheres_s,spheres_m,spheres_l,cotton_s,cotton_m,cotton_l,jute_s,jute_m,jute_l,sand_s,sand_m,sand_l
5,9,0,0,0,7,0,0,7,0,0,7,10,2
0,0,0,7,4,1,16,0,0,9,0,0,10,2
0,0,0,0,0,3,5,0,4,0,6,0,7,10
0,0,0,0,4,6,0,0,0,0,24,3,17,0
0,0,0,0,0,20,0,0,0,0,4,0,2,33
0,0,0,0,0,0,0,0,3,0,4,0,5,0
0,0,0,0,0,0,0,0,0,0,0,7,18,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,2,0,2,0,0,0,0,0,3,0,15
5,0,0,0,0,2,0,0,0,1,0,0,0,5
0,0,0,2,0,0,0,6,0,3,0,0,0,0
0,0,0,0,0,0,0,0,8,0,0,0,0,0
0,3,0,7,1,1,0,0,5,11,0,0,10,0
0,0,0,0,0,3,5,0,0,2,0,0,0,20
0,0,0,0,6,6,0,0,0,0,0,11,11,0
3,0,0,0,0,20,0,0,0,0,1,0,9,18
0,0,0,0,0,11,0,0,0,4,11,0,0,0
0,0,0,0,0,0,0,0,2,4,0,18,2,0
3,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,2,0,0,0,0,0,0,0,0,28,0
2,0,0,0,0,0,5,0,7,0,0,0,2,0
0,0,0,24,0,0,0,0,0,0,0,3,0,13
0,0,0,8,0,0,0,0,0,11,0,0,18,0
0,0,0,10,0,5,0,0,3,9,1,10,0,54
0,0,0,18,0,0,0,0,0,0,0,0,0,0
0,1,0,8,0,3,0,0,0,0,12,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0,4,0
0,1,0,15,0,1,0,0,6,0,0,0,0,13
0,1,0,0,0,0,0,0,0,0,1,14,3,0
0,0,0,0,0,0,0,0,0,0,0,13,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,11
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,9,0,0,0,0,12
2,0,0,0,0,0,2,0,0,9,16,0,0,11
0,0,0,0,0,0,0,0,0,4,0,0,0,14
1,0,0,0,0,0,2,0,0,3,1,0,20,0
0,0,0,0,0,1,0,0,0,0,0,9,0,23
0,0,0,21,0,0,0,0,0,0,3,3,0,1
1,0,0,8,0,0,0,0,3,0,0,9,11,0
11,2,0,7,0,0,0,0,2,0,0,0,0,8
0,0,0,9,0,0,0,0,0,0,16,0,0,33
0,0,0,4,0,0,0,0,0,0,12,0,0,6
0,0,0,0,0,0,0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,1,7,0,3,20
0,0,0,3,0,0,0,0,0,0,4,0,0,11
1,0,0,6,0,0,0,0,8,1,0,14,0,19
0,0,0,13,0,0,0,0,0,0,0,0,4,3
0,0,0,11,0,0,0,0,1,0,0,0,10,0
0,0,0,4,0,6,0,0,0,0,0,17,9,0
0,0,0,5,0,2,0,0,3,1,0,0,27,0
0,0,0,4,0,1,0,0,0,0,0,0,0,15
1,1,0,10,0,0,0,0,0,1,0,0,17,0
0,2,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,4,0,0,5,0,0
0,0,0,14,0,0,0,0,0,0,0,0,0,35
1,0,0,12,0,5,0,0,0,0,0,0,0,23
0,0,0,3,0,0,0,0,0,0,3,1,0,0
3,0,0,5,0,4,0,0,0,0,2,0,0,0
0,0,0,8,0,0,0,0,0,6,1,1,17,0
0,0,0,10,0,0,0,0,0,0,0,0,0,0
0,0,0,11,0,2,0,0,1,0,1,0,10,0
0,0,2,4,0,0,0,0,0,1,0,0,1,13
0,0,3,0,0,0,0,0,0,0,0,10,0,27
0,0,2,0,0,0,0,0,1,0,7,0,0,21
0,0,0,0,0,0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,0,0,0,0,13,0,6
0,3,0,8,0,0,0,0,0,0,0,1,0,4
3,0,2,0,0,0,0,0,3,2,0,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,10,12,0,31
0,0,1,0,0,0,0,0,0,6,1,5,0,5
0,0,0,21,0,0,0,0,5,4,0,0,10,0
0,0,0,15,0,0,0,0,0,0,0,0,0,18
4,0,0,0,0,0,0,0,0,0,3,0,0,25
2,0,0,0,0,0,0,0,0,10,0,0,9,14
0,0,0,0,0,0,0,0,0,0,0,0,0,13
0,0,0,0,0,0,0,0,11,0,0,4,0,0
0,0,0,6,0,0,0,0,0,0,7,0,0,0
9,0,1,2,1,0,0,0,0,2,0,0,0,13
0,0,6,0,0,0,0,0,0,0,2,0,0,5
1,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,5,0,0,0,0,0,0,0,0,0,0
0,0,11,20,12,0,0,0,0,0,0,0,6,15
0,0,3,0,0,0,0,0,0,0,0,0,20,1
3,0,2,0,5,0,0,0,8,0,0,0,0,0
0,0,3,0,9,0,0,0,4,1,0,0,5,0
0,0,2,0,0,0,0,0,0,5,0,0,0,0
0,0,0,5,7,0,0,0,0,2,0,0,0,10
0,0,0,17,0,0,1,0,0,0,0,0,9,0
0,1,0,3,0,0,0,0,8,0,0,0,0,0
0,2,0,2,0,0,0,0,0,3,0,0,9,0
0,0,0,0,3,1,0,0,0,1,2,3,5,19
0,0,0,0,9,0,0,0,9,0,1,0,0,8
0,0,0,0,5,0,0,0,1,0,0,0,12,0
0,0,2,5,1,0,0,0,0,3,0,0,0,3
0,0,8,1,0,0,0,0,7,0,1,0,0,17
0,0,0,5,0,0,0,0,0,0,0,1,0,18
0,0,8,0,6,0,0,0,0,3,3,0,0,12
1,0,1,0,8,0,0,0,6,0,0,0,0,9
0,0,0,0,0,0,0,0,0,10,0,0,16,0
0,0,2,0,18,0,0,0,0,0,0,0,19,10
0,0,0,0,15,0,0,0,0,0,0,5,17,0
17,0,0,8,0,0,0,0,0,0,5,7,0,2
3,0,0,0,0,0,0,0,0,0,0,4,3,0
0,0,0,0,0,0,0,0,0,9,0,0,0,0
0,0,0,0,0,3,0,0,0,11,0,0,0,0
0,0,0,2,0,0,0,0,15,5,6,0,9,0
2,0,11,0,5,0,0,0,0,0,8,19,2,0
0,0,0,5,0,13,0,0,0,0,7,5,0,3
0,0,1,0,0,4,0,0,0,0,0,0,0,27
0,0,0,0,2,4,0,0,0,0,0,0,0,0
0,0,4,1,0,0,0,0,3,0,0,10,10,0
0,0,4,0,17,0,0,0,0,1,4,0,0,7
5,0,6,0,9,0,0,0,0,0,4,8,0,45
1,0,8,0,0,0,0,0,0,0,0,5,0,3
0,0,9,4,0,0,0,0,0,0,0,0,0,28
0,0,11,5,3,0,0,0,0,0,0,0,2,12
0,0,0,12,18,5,0,0,2,25,7,0,0,17
0,0,0,12,16,0,0,0,0,0,6,0,0,5
2,0,0,12,28,0,0,0,0,0,0,1,17,0
0,11,0,0,12,0,0,0,0,0,0,16,10,8
0,0,1,3,7,6,0,0,3,1,0,7,1,0
0,0,3,0,0,0,0,0,0,0,0,8,0,0
0,0,0,2,0,0,0,0,0,4,0,0,0,0
0,0,0,0,3,0,0,0,0,3,1,4,6,0
0,0,4,0,12,0,0,0,3,0,0,0,5,11
0,0,0,6,0,0,0,0,0,2,0,0,11,5
1,2,2,5,0,0,0,0,0,0,0,3,0,0
0,2,0,0,3,0,0,0,0,3,7,0,29,21
0,0,10,3,0,1,0,0,0,0,5,2,12,0
1,0,0,0,2,0,0,0,5,0,0,17,37,0
0,0,0,12,0,0,0,0,0,10,0,0,0,32
0,0,0,17,0,0,0,0,1,5,11,0,16,15
4,0,0,0,8,0,0,0,0,0,0,0,3,13
1,0,4,0,0,0,0,0,0,0,0,4,0,24
0,0,3,0,8,0,0,0,1,0,0,0,0,0
0,3,4,1,0,5,0,0,0,2,0,0,0,16
0,0,0,0,4,3,0,0,0,0,3,1,0,1
0,0,4,0,18,0,0,0,0,1,11,0,0,0
0,1,0,0,0,0,0,0,0,0,0,3,20,14
0,0,0,3,0,0,0,0,0,0,0,0,13,0
0,0,0,0,0,0,0,0,3,0,0,17,0,0
0,0,0,8,0,0,0,0,0,0,5,7,0,0
0,0,0,4,30,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,3,1,16,11
1,0,3,8,0,0,0,0,0,0,0,6,9,0
0,0,3,14,0,9,0,0,0,2,0,0,0,5
0,0,8,15,0,0,0,0,0,0,0,0,0,7
0,0,0,5,12,0,0,0,0,2,0,4,0,1
0,0,4,13,0,0,0,0,0,15,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,2,22,0
0,0,0,0,0,0,0,0,6,0,0,0,0,0
0,0,0,0,12,1,0,0,0,0,6,0,0,0
0,0,0,10,0,0,0,0,0,7,0,12,0,9
0,1,2,19,30,0,0,0,0,11,12,0,9,0
0,0,0,16,0,0,0,0,0,2,0,0,18,0
1,0,0,0,9,0,0,0,0,0,0,0,0,14
0,0,0,0,3,0,0,0,0,2,0,0,18,0
0,0,2,0,11,0,0,0,2,0,6,0,0,0
1,0,0,11,8,0,0,0,0,6,0,0,11,0
0,0,0,5,8,0,0,0,0,11,0,0,28,0
0,0,0,3,6,0,0,0,0,0,0,0,0,0
0,0,0,20,0,0,0,0,2,0,0,8,0,0
0,0,7,0,0,1,0,0,0,0,3,1,10,9
0,0,9,8,12,0,0,0,0,0,6,0,0,0
0,1,5,0,5,0,0,0,0,0,4,0,0,0
0,0,1,3,13,0,0,0,0,12,0,17,0,14
0,0,4,0,0,0,0,0,0,0,0,0,5,22
0,1,2,16,9,0,0,0,0,0,0,0,0,0
0,0,0,0,7,2,0,0,8,2,0,0,8,0
0,0,0,5,9,0,0,0,0,0,1,0,0,9
0,0,0,7,0,0,0,0,0,0,6,3,0,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,0,0,2,0,0,0,0,0,0,4,5,0,11
0,0,7,0,2,0,0,0,5,0,0,4,0,11
0,0,12,0,0,0,0,0,0,5,0,0,0,0
0,0,2,5,12,4,0,0,4,0,0,3,5,0
0,0,4,0,0,2,0,0,1,0,0,0,0,5
7,0,0,0,27,0,0,0,0,4,0,0,0,0
1,0,8,1,0,0,0,0,0,2,0,2,0,5
0,0,0,0,0,0,0,0,0,2,0,0,5,16
0,0,5,1,7,0,0,0,1,0,0,0,24,22
3,0,2,0,14,0,0,0,0,0,0,4,0,0
0,0,0,0,19,0,0,0,0,2,0,11,16,3
0,0,0,0,13,0,0,0,0,3,0,0,0,11
2,0,7,0,0,1,0,0,0,0,0,0,0,34
0,0,2,0,0,0,0,0,0,0,2,3,0,0
5,0,0,0,0,0,0,0,6,2,36,13,0,2
0,0,1,7,8,9,0,0,0,0,15,0,0,0
1,0,2,0,0,3,0,0,0,0,6,6,2,0
0,0,0,0,14,9,0,0,0,0,5,0,0,5
0,7,3,0,5,0,0,0,0,0,0,0,19,13
0,0,0,0,0,0,0,0,0,3,0,0,5,2
6,0,0,0,10,1,0,0,0,0,0,0,4,16
0,0,0,0,0,0,0,0,0,0,4,22,6,22
0,0,11,0,5,2,1,0,1,0,0,12,18,15
0,0,1,4,0,0,0,0,0,0,8,18,0,1
0,0,3,0,25,0,0,0,0,1,0,0,0,0
1,0,0,7,19,0,0,0,0,7,2,0,0,0
4,0,0,15,0,0,0,0,0,0,14,0,0,6
0,0,2,9,12,0,0,0,4,0,9,0,0,1
0,0,7,0,10,9,0,0,0,3,0,0,0,0
0,4,0,0,0,0,0,0,0,0,0,8,30,0
0,0,5,0,5,0,0,0,0,0,4,3,0,0
0,0,0,0,0,0,0,0,0,3,0,1,10,16
0,1,0,0,0,3,0,0,0,0,0,0,0,0
0,0,4,0,11,0,0,0,0,0,0,0,15,0
0,0,5,0,0,0,0,0,0,2,0,3,33,0
3,0,4,5,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6,0
0,0,0,0,5,0,0,0,2,0,0,10,4,25
3,0,0,0,0,0,0,0,6,0,0,0,0,0
0,0,0,0,10,0,0,0,0,6,0,0,0,16
0,0,0,0,0,0,0,0,0,18,0,0,0,0
0,0,8,0,7,0,0,0,2,4,0,0,4,0
0,0,0,0,10,0,0,0,2,0,0,0,0,0
0,0,0,0,0,5,0,0,0,0,0,0,9,17
0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,1,0,0,0,1,23
0,1,2,14,0,0,0,0,2,0,9,0,20,25
0,0,0,0,0,0,0,0,0,0,0,0,0,22
0,0,0,0,11,0,0,0,0,0,0,18,4,16
0,0,0,0,4,0,0,0,0,0,2,0,10,23
0,0,0,0,0,0,2,0,0,0,1,0,6,0
0,0,0,7,21,0,0,0,1,8,3,12,0,8
0,0,0,7,17,0,0,0,0,0,6,0,0,9
0,0,9,9,1,0,0,0,2,0,0,0,1,0
2,0,17,6,0,6,0,0,0,0,0,0,10,0
5,0,2,10,4,0,0,0,0,0,0,14,0,0
0,0,0,0,11,0,0,0,5,0,10,2,0,0
0,0,4,0,0,0,0,0,1,0,0,9,0,15
0,0,0,0,0,0,0,0,1,5,0,0,4,21
0,0,0,0,0,0,0,0,0,0,0,6,0,0
3,0,2,0,6,0,0,0,0,5,0,2,23,0
1,0,0,7,6,0,0,0,0,0,0,0,2,0
0,0,3,0,3,3,0,0,0,2,0,12,3,10
0,0,0,0,10,4,0,0,0,0,1,0,2,0
5,0,6,8,5,0,0,0,0,0,14,4,3,0
1,0,8,5,0,0,0,0,4,0,8,2,7,0
0,0,0,0,33,0,0,0,0,0,8,0,0,0
0,0,0,0,9,0,0,0,4,0,0,0,15,0
0,0,0,3,0,5,0,0,0,0,0,0,0,0
0,1,10,0,0,0,0,0,2,0,0,1,1,33
0,4,0,0,11,3,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,2,0,0,0,18
12,0,0,0,9,8,0,0,0,0,0,0,0,10
0,1,0,0,12,9,0,0,0,0,0,5,19,3
0,0,8,5,2,3,0,0,2,0,2,0,37,9
0,0,0,0,2,4,0,0,0,0,4,9,0,5
0,0,0,0,7,0,0,0,0,0,11,0,0,0
0,0,0,12,0,0,0,0,4,0,11,8,7,0
0,0,0,12,0,2,0,0,5,2,0,0,0,0
0,0,0,2,0,0,0,0,2,0,8,6,2,0
0,0,7,0,0,3,0,0,0,0,5,18,16,0
0,0,0,0,1,0,0,0,3,2,0,14,0,0
0,0,0,3,0,0,0,0,0,0,0,0,0,11
0,0,1,8,0,0,0,0,0,4,0,5,0,29
0,0,0,7,0,0,0,0,0,0,11,9,16,5
0,0,0,0,0,0,0,0,5,2,2,0,3,20
0,0,0,0,0,0,0,0,7,0,0,0,0,0
0,0,0,6,0,0,0,0,0,4,0,18,14,0
0,0,0,0,3,0,0,0,0,9,7,0,11,0
0,0,7,0,0,0,0,0,0,0,6,0,10,0
0,0,5,0,0,0,0,0,5,0,0,0,3,3
0,0,6,0,0,0,0,0,0,0,6,6,0,0
15,0,8,0,0,0,0,0,0,0,0,12,0,0
0,0,0,0,7,0,0,0,2,0,0,0,0,0
0,0,0,0,0,2,0,0,1,0,0,0,15,0
0,0,0,1,0,0,0,0,0,0,0,0,0,19
0,0,2,3,3,0,0,0,0,1,4,1,3,0
0,0,0,8,0,0,0,0,0,0,8,0,0,25
0,0,4,0,0,0,0,0,3,0,0,0,5,0
0,5,2,0,0,4,0,0,2,0,0,0,0,3
0,0,0,0,3,0,0,0,0,5,0,0,0,0
0,0,0,8,5,0,0,0,3,0,0,0,0,23
0,0,0,0,10,0,0,0,4,0,2,0,11,12
0,0,0,0,19,0,0,0,0,0,1,4,0,6
0,0,0,18,11,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,8,0,5,0,0,0,0,6,5,12,0
0,0,0,0,0,0,0,0,4,3,12,0,10,0
2,0,0,0,0,1,0,0,0,4,5,0,0,7
0,0,5,0,0,0,0,0,0,0,0,0,0,0
2,0,5,5,0,0,0,0,0,0,0,8,16,0
0,0,9,16,29,0,0,0,2,7,0,0,2,1
0,0,1,2,16,0,0,0,4,8,0,0,0,6
1,0,1,4,4,0,0,0,4,0,1,0,33,3
2,0,0,0,0,0,0,0,8,3,1,0,0,0
0,0,0,7,0,5,0,0,0,0,8,0,5,0
0,0,1,0,12,0,0,0,0,0,9,0,0,0
0,0,4,0,0,0,0,0,0,0,6,0,0,0
7,0,0,0,15,0,0,0,0,0,7,3,0,0
0,0,0,0,3,0,0,0,0,0,0,0,0,0
2,0,0,0,3,0,0,0,7,0,15,0,0,0
0,0,4,0,0,0,0,0,3,0,5,4,7,0
0,0,3,0,0,0,0,0,0,0,8,0,2,0
0,0,0,9,18,0,0,0,0,0,9,0,0,12
2,0,1,18,1,0,0,0,0,0,0,0,15,0
0,4,0,23,0,0,0,0,0,0,0,9,8,0
0,0,1,2,0,0,0,0,0,0,0,0,0,0
0,0,3,7,0,7,0,0,0,0,0,0,21,2
3,0,6,3,0,0,0,0,2,2,0,0,1,0
3,0,0,8,3,3,0,0,0,0,13,12,0,0
0,0,2,10,0,0,0,0,2,0,0,0,0,0
0,0,0,8,0,0,0,0,0,0,2,0,0,0
0,0,5,0,0,0,0,0,0,2,0,0,0,4
0,0,2,0,10,0,0,0,1,0,3,0,3,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,6,0,0,0,0,4,0,6,0
0,0,0,1,0,1,0,0,0,0,0,0,0,0
